n1,n2,u1,u2,v_in
400,600,1.087,1.485,1
400,600,2.163,3.000,2
400,600,3.243,4.510,3
400,600,4.300,6.040,4
400,600,5.390,7.600,5
400,600,6.470,9.140,6
400,600,7.540,10.700,7
400,600,8.630,12.260,8
400,600,9.690,13.830,9
400,600,10.800,15.410,10
400,400,1.088,0.993,1
400,400,2.167,2.005,2
400,400,3.247,3.024,3
400,400,4.310,4.030,4
400,400,5.390,5.070,5
400,400,6.460,6.100,6
400,400,7.550,7.140,7
400,400,8.640,8.180,8
400,400,9.710,9.220,9
400,400,10.800,10.270,10
400,200,1.087,0.488,1
400,200,2.167,0.994,2
400,200,3.248,1.505,3
400,200,4.310,2.017,4
400,200,5.390,2.532,5
400,200,6.470,3.047,6
400,200,7.550,3.568,7
400,200,8.630,4.070,8
400,200,9.710,4.590,9
400,200,10.800,5.110,10
